"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",214,10.8837913314519,-2.6580249076275,1.0695920469153,959.443582540297,0.99,949.849146714894
"female",215,10.8994005830336,-2.56235567345897,1.06946703740114,959.640557789786,0.99,950.044152211888
"female",216,10.9150693814825,-2.46809832596322,1.06935177645152,959.840486979325,0.99,950.242082109532
"female",217,10.9307962833024,-2.37523725884115,1.06924599091475,960.043340468087,0.99,950.442907063406
"female",218,10.946579844997,-2.28375686579363,1.06914940763919,960.249088615247,0.99,950.646597729094
"female",219,10.9624186230702,-2.19364154052157,1.06906175347314,960.457701779979,0.99,950.853124762179
"female",220,10.9783111740258,-2.10487567672586,1.06898275526496,960.669150321456,0.99,951.062458818242
"female",221,10.9942560543675,-2.01744366810738,1.06891213986297,960.883404598854,0.99,951.274570552865
"female",222,11.0102518205992,-1.93132990836704,1.06884963411551,961.100434971345,0.99,951.489430621631
"female",223,11.0262970292246,-1.84651879120573,1.0687949648709,961.320211798103,0.99,951.707009680122
"female",224,11.0423902367475,-1.76299471032433,1.06874785897748,961.542705438304,0.99,951.92727838392
"female",225,11.0585299996718,-1.68074205942375,1.06870804328358,961.767886251119,0.99,952.150207388608
"female",226,11.0747148745011,-1.59974523220487,1.06867524463753,961.995724595724,0.99,952.375767349767
"female",227,11.0909434177394,-1.51998862236858,1.06864918988767,962.226190831293,0.99,952.60392892298
"female",228,11.1072141858904,-1.44145662361579,1.06862960588233,962.459255316999,0.99,952.834662763829
"female",229,11.1235257354579,-1.36413362964737,1.06861621946984,962.694888412017,0.99,953.067939527896
"female",230,11.1398766229457,-1.28800403416423,1.06860875749854,962.933060475519,0.99,953.303729870764
"female",231,11.1562654048575,-1.21305223086726,1.06860694681675,963.173741866682,0.99,953.542004448015
"female",232,11.1726906376972,-1.13926261345734,1.0686105142728,963.416902944677,0.99,953.782733915231
"female",233,11.1891508779686,-1.06661957563538,1.06861918671504,963.66251406868,0.99,954.025888927994
"female",234,11.2056446821755,-0.995107511102266,1.06863269099179,963.910545597865,0.99,954.271440141886
"female",235,11.2221706068216,-0.924710813558887,1.06865075395139,964.160967891404,0.99,954.51935821249
"female",236,11.2387272084108,-0.855413876706138,1.06867310244216,964.413751308473,0.99,954.769613795388
"female",237,11.2553130434468,-0.787201094244912,1.06869946331244,964.668866208245,0.99,955.022177546162
"female",238,11.2719266684335,-0.720056859876101,1.06872956341057,964.926282949893,0.99,955.277020120394
"female",239,11.2885666398746,-0.653965567300598,1.06876312958487,965.185971892593,0.99,955.534112173667
